"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6172","Adicionar item ao carrinho","desktop-chrome","Sat Dec 06 22:36:21 BRT 2025","passed","Sat Dec 06 22:36:27 BRT 2025","","cart.e2e.spec.js","",""
"","6627","Deve abrir detalhes de um produto","desktop-chrome","Sat Dec 06 22:36:21 BRT 2025","failed","Sat Dec 06 22:36:28 BRT 2025","🔍 Busca e navegação de produtos","busca\busca.spec.js","",""
"","6387","Adicionar item ao carrinho","desktop-chrome","Sat Dec 06 22:36:21 BRT 2025","failed","Sat Dec 06 22:36:27 BRT 2025","🛒 Carrinho — Ações básicas","carrinho\carrinho.spec.js","",""
"","1949","Login funciona com sucesso","mobile-chrome","Sat Dec 06 22:36:51 BRT 2025","passed","Sat Dec 06 22:36:53 BRT 2025","","smoke.e2e.spec.js","",""
"","2530","Adicionar item ao carrinho","mobile-chrome","Sat Dec 06 22:36:43 BRT 2025","passed","Sat Dec 06 22:36:45 BRT 2025","","cart.e2e.spec.js","",""
"","1400","Home lista produtos com sucesso","mobile-chrome","Sat Dec 06 22:36:53 BRT 2025","passed","Sat Dec 06 22:36:54 BRT 2025","","smoke.e2e.spec.js","",""
"","6109","Login → adicionar item → carrinho","desktop-chrome","Sat Dec 06 22:36:21 BRT 2025","failed","Sat Dec 06 22:36:27 BRT 2025","🛒 Carrinho — Fluxo E2E completo","carrinho\cart.e2e.spec.js","",""
"","3540","Login com usuário bloqueado deve falhar","desktop-chrome","Sat Dec 06 22:36:31 BRT 2025","failed","Sat Dec 06 22:36:35 BRT 2025","🔐 Login – Testes individuais","login\login.spec.js","",""
"","2821","Deve abrir detalhes de um produto","mobile-chrome","Sat Dec 06 22:36:38 BRT 2025","failed","Sat Dec 06 22:36:41 BRT 2025","🔍 Busca e navegação de produtos","busca\busca.spec.js","",""
"","2211","Login → adicionar item → carrinho","mobile-chrome","Sat Dec 06 22:36:40 BRT 2025","failed","Sat Dec 06 22:36:42 BRT 2025","🛒 Carrinho — Fluxo E2E completo","carrinho\cart.e2e.spec.js","",""
"","2973","Checkout completo","mobile-chrome","Sat Dec 06 22:36:44 BRT 2025","failed","Sat Dec 06 22:36:47 BRT 2025","💳 Fluxo de compra completo","compra\compra.spec.js","",""
"","4085","🔥 Smoke — Login e navegação até produtos","desktop-chrome","Sat Dec 06 22:36:31 BRT 2025","passed","Sat Dec 06 22:36:35 BRT 2025","","smoke\smoke.spec.js","",""
"","1720","Deve falhar com senha inválida","desktop-chrome","Sat Dec 06 22:36:35 BRT 2025","failed","Sat Dec 06 22:36:37 BRT 2025","🔐 Login - Fluxo E2E","login\login.e2e.spec.js","",""
"","2626","Adicionar item ao carrinho","mobile-chrome","Sat Dec 06 22:36:38 BRT 2025","failed","Sat Dec 06 22:36:41 BRT 2025","🛒 Carrinho — Ações básicas","carrinho\carrinho.spec.js","",""
"","1836","Deve falhar com senha inválida","mobile-chrome","Sat Dec 06 22:36:48 BRT 2025","failed","Sat Dec 06 22:36:49 BRT 2025","🔐 Login - Fluxo E2E","login\login.e2e.spec.js","",""
"","2750","Deve fazer login com sucesso","mobile-chrome","Sat Dec 06 22:36:44 BRT 2025","passed","Sat Dec 06 22:36:47 BRT 2025","🔐 Login - Fluxo E2E","login\login.e2e.spec.js","",""
"","1976","Login funciona com sucesso","desktop-chrome","Sat Dec 06 22:36:35 BRT 2025","passed","Sat Dec 06 22:36:37 BRT 2025","","smoke.e2e.spec.js","",""
"","2787","Login com usuário bloqueado deve falhar","mobile-chrome","Sat Dec 06 22:36:45 BRT 2025","failed","Sat Dec 06 22:36:48 BRT 2025","🔐 Login – Testes individuais","login\login.spec.js","",""
"","2158","🔥 Smoke — Login e navegação até produtos","mobile-chrome","Sat Dec 06 22:36:50 BRT 2025","passed","Sat Dec 06 22:36:52 BRT 2025","","smoke\smoke.spec.js","",""
"","4074","Checkout completo","desktop-chrome","Sat Dec 06 22:36:30 BRT 2025","failed","Sat Dec 06 22:36:35 BRT 2025","💳 Fluxo de compra completo","compra\compra.spec.js","",""
"","2326","Remover item do carrinho","mobile-chrome","Sat Dec 06 22:36:47 BRT 2025","passed","Sat Dec 06 22:36:49 BRT 2025","","cart.e2e.spec.js","",""
"","3821","Deve fazer login com sucesso","desktop-chrome","Sat Dec 06 22:36:31 BRT 2025","passed","Sat Dec 06 22:36:34 BRT 2025","🔐 Login - Fluxo E2E","login\login.e2e.spec.js","",""
"","1860","Home lista produtos com sucesso","desktop-chrome","Sat Dec 06 22:36:37 BRT 2025","passed","Sat Dec 06 22:36:39 BRT 2025","","smoke.e2e.spec.js","",""
"","2140","Remover item do carrinho","desktop-chrome","Sat Dec 06 22:36:28 BRT 2025","passed","Sat Dec 06 22:36:30 BRT 2025","","cart.e2e.spec.js","",""
